Service,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,%Growth
Services provided by a recognised stock exchange in relation to transaction in securities,NA,NA,NA,NA,NA,NA,52,81,99,143,44.9
Services provided to goods or forward contracts,NA,NA,NA,NA,NA,NA,44,38,25,39,56.5
Services provided by a procecing and clearinghoose in goods and forward contracts.,NA,NA,NA,NA,NA,NA,22,42,50,48,-4.3
Services provided by a insurer of life insurance on ULIPS,NA,NA,NA,NA,NA,NA,231,340,343,242,-29.4
Services provided by any person in relation to supply of tangible goods.,NA,NA,NA,NA,NA,NA,1237,1861,2147,2732,27.3
^Legal Consultancy Service,NA,NA,NA,NA,NA,NA,420,901,1098,1477,34.5
^ Cosmetic Surgery or Plastic Surgery Service,NA,NA,NA,NA,NA,NA,14,33,34,53,56.2
*Services of promoting a brand of goods services events business entity etc.,NA,NA,NA,NA,NA,NA,74,96,125,198,57.7
* Services of permitting commercial use or exploitation of any event orgnized by a person or organization.,NA,NA,NA,NA,NA,NA,11,82,65,58,-10.9
* Services provided by electricity exchange.,NA,NA,NA,NA,NA,NA,10,21,22,31,43.3
*Special services provided by a builder etc to the prospective buyers such as providing preferentioal,NA,NA,NA,NA,NA,NA,179,181,106,100,-6.2
* Health services like (a) health check up undertaken by hospitals or medical establishments for employee.,NA,NA,NA,NA,NA,NA,24,35,40,60,50.9
*Services provided maintenance of medical records of employees business entity.,NA,NA,NA,NA,NA,NA,0.5,1,0.8,2,82.9
*Services related to (a) Transfering Temporarily or (b) permitting the use or enjoyment of any copyright.,NA,NA,NA,NA,NA,NA,142,448,584,549,-6
"*Services of Promoting Marketing or Organising of Games of chance including lottery,Bingo or Lotto",NA,NA,NA,NA,NA,NA,24,0.3,1,49,3975
#Services of air-conditioned restaurants having license to serve alcoholic beverages in relation to service of food or beverages.,NA,NA,NA,NA,NA,NA,355,928,1090,1372,25.8
# Services of providing of accomodation in hotels/Inn/clubs/guesthouses/campsite for a continuous period of less than three months.,NA,NA,NA,NA,NA,NA,847,1144,1290,1710,32.5
^Transport of Coastal goods & goods rthrough national waterways or goods through inlandwater.,NA,NA,NA,NA,NA,NA,185,262,265,297,12.3
$ All taxable services,NA,NA,NA,NA,NA,NA,30868,6873,4303,3288,-23.6
$ Other taxable services,NA,NA,NA,NA,NA,NA,618,1944,2077,3855,85.6
Total Taxes (all services),37598,51301,60715,57456,71191,96670,130901,150974,164199,206534,25.8
